ELECTION,PRECINCT,AGE,VOTERS,VOTED,TURNOUT,CYCLE
2000,2181007800,18-24,12.0,8.0,0.6666666666666666,Even
2000,2181007800,25-34,40.0,35.0,0.875,Even
2000,2181007800,35-44,92.0,89.0,0.967391304347826,Even
2000,2181007800,45-54,78.0,76.0,0.9743589743589743,Even
2000,2181007800,55-64,33.0,33.0,1.0,Even
2000,2181007800,65+,15.0,15.0,1.0,Even
2000,2181007801,18-24,8.0,6.0,0.75,Even
2000,2181007801,25-34,33.0,26.0,0.7878787878787878,Even
2000,2181007801,35-44,51.0,47.0,0.9215686274509803,Even
2000,2181007801,45-54,60.0,56.0,0.9333333333333333,Even
2000,2181007801,55-64,16.0,15.0,0.9375,Even
2000,2181007801,65+,5.0,5.0,1.0,Even
2000,2181007802,18-24,2.0,2.0,1.0,Even
2000,2181007802,25-34,27.0,24.0,0.8888888888888888,Even
2000,2181007802,35-44,28.0,27.0,0.9642857142857143,Even
2000,2181007802,45-54,43.0,38.0,0.8837209302325582,Even
2000,2181007802,55-64,7.0,7.0,1.0,Even
2000,2181007802,65+,2.0,2.0,1.0,Even
2000,2181007804,18-24,9.0,8.0,0.8888888888888888,Even
2000,2181007804,25-34,68.0,59.0,0.8676470588235294,Even
2000,2181007804,35-44,135.0,123.0,0.9111111111111111,Even
2000,2181007804,45-54,178.0,171.0,0.9606741573033708,Even
2000,2181007804,55-64,60.0,57.0,0.95,Even
2000,2181007804,65+,7.0,7.0,1.0,Even
2000,2181007806,18-24,11.0,7.0,0.6363636363636364,Even
2000,2181007806,25-34,85.0,78.0,0.9176470588235294,Even
2000,2181007806,35-44,77.0,71.0,0.922077922077922,Even
2000,2181007806,45-54,65.0,63.0,0.9692307692307692,Even
2000,2181007806,55-64,28.0,27.0,0.9642857142857143,Even
2000,2181007806,65+,3.0,3.0,1.0,Even
2000,2181007807,18-24,15.0,14.0,0.9333333333333333,Even
2000,2181007807,25-34,47.0,38.0,0.8085106382978723,Even
2000,2181007807,35-44,111.0,105.0,0.9459459459459459,Even
2000,2181007807,45-54,154.0,144.0,0.935064935064935,Even
2000,2181007807,55-64,36.0,33.0,0.9166666666666666,Even
2000,2181007807,65+,4.0,3.0,0.75,Even
2000,2181007808,18-24,15.0,12.0,0.8,Even
2000,2181007808,25-34,72.0,58.0,0.8055555555555556,Even
2000,2181007808,35-44,114.0,105.0,0.9210526315789473,Even
2000,2181007808,45-54,90.0,82.0,0.9111111111111111,Even
2000,2181007808,55-64,27.0,25.0,0.9259259259259259,Even
2000,2181007808,65+,8.0,8.0,1.0,Even
2000,2181007809,18-24,16.0,9.0,0.5625,Even
2000,2181007809,25-34,89.0,78.0,0.8764044943820225,Even
2000,2181007809,35-44,132.0,122.0,0.9242424242424242,Even
2000,2181007809,45-54,156.0,153.0,0.9807692307692307,Even
2000,2181007809,55-64,44.0,44.0,1.0,Even
2000,2181007809,65+,4.0,4.0,1.0,Even
2000,2181007810,18-24,11.0,7.0,0.6363636363636364,Even
2000,2181007810,25-34,66.0,54.0,0.8181818181818182,Even
2000,2181007810,35-44,118.0,108.0,0.9152542372881356,Even
2000,2181007810,45-54,159.0,158.0,0.9937106918238994,Even
2000,2181007810,55-64,40.0,35.0,0.875,Even
2000,2181007810,65+,21.0,21.0,1.0,Even
2000,2181007811,18-24,17.0,12.0,0.7058823529411765,Even
2000,2181007811,25-34,86.0,73.0,0.8488372093023255,Even
2000,2181007811,35-44,151.0,136.0,0.9006622516556292,Even
2000,2181007811,45-54,122.0,115.0,0.9426229508196722,Even
2000,2181007811,55-64,39.0,35.0,0.8974358974358975,Even
2000,2181007811,65+,5.0,5.0,1.0,Even
2000,2181007812,18-24,12.0,7.0,0.5833333333333334,Even
2000,2181007812,25-34,57.0,48.0,0.8421052631578947,Even
2000,2181007812,35-44,91.0,86.0,0.945054945054945,Even
2000,2181007812,45-54,90.0,86.0,0.9555555555555556,Even
2000,2181007812,55-64,28.0,25.0,0.8928571428571429,Even
2000,2181007812,65+,5.0,4.0,0.8,Even
2000,2181007813,18-24,15.0,11.0,0.7333333333333333,Even
2000,2181007813,25-34,30.0,26.0,0.8666666666666667,Even
2000,2181007813,35-44,79.0,70.0,0.8860759493670886,Even
2000,2181007813,45-54,99.0,90.0,0.9090909090909091,Even
2000,2181007813,55-64,32.0,31.0,0.96875,Even
2000,2181007813,65+,12.0,11.0,0.9166666666666666,Even
2000,2181007814,18-24,15.0,10.0,0.6666666666666666,Even
2000,2181007814,25-34,44.0,40.0,0.9090909090909091,Even
2000,2181007814,35-44,90.0,84.0,0.9333333333333333,Even
2000,2181007814,45-54,79.0,72.0,0.9113924050632911,Even
2000,2181007814,55-64,38.0,36.0,0.9473684210526315,Even
2000,2181007814,65+,6.0,6.0,1.0,Even
2000,2181007815,18-24,6.0,5.0,0.8333333333333334,Even
2000,2181007815,25-34,21.0,17.0,0.8095238095238095,Even
2000,2181007815,35-44,26.0,24.0,0.9230769230769231,Even
2000,2181007815,45-54,22.0,21.0,0.9545454545454546,Even
2000,2181007815,55-64,9.0,9.0,1.0,Even
2000,2181007815,65+,6.0,5.0,0.8333333333333334,Even
2000,2181007816,18-24,10.0,4.0,0.4,Even
2000,2181007816,25-34,33.0,28.0,0.8484848484848485,Even
2000,2181007816,35-44,87.0,80.0,0.9195402298850575,Even
2000,2181007816,45-54,78.0,69.0,0.8846153846153846,Even
2000,2181007816,55-64,30.0,28.0,0.9333333333333333,Even
2000,2181007816,65+,4.0,4.0,1.0,Even
2000,2181007817,18-24,5.0,4.0,0.8,Even
2000,2181007817,25-34,43.0,40.0,0.9302325581395349,Even
2000,2181007817,35-44,95.0,90.0,0.9473684210526315,Even
2000,2181007817,45-54,104.0,98.0,0.9423076923076923,Even
2000,2181007817,55-64,68.0,64.0,0.9411764705882353,Even
2000,2181007817,65+,12.0,12.0,1.0,Even
2000,2181007818,18-24,14.0,9.0,0.6428571428571429,Even
2000,2181007818,25-34,57.0,51.0,0.8947368421052632,Even
2000,2181007818,35-44,104.0,99.0,0.9519230769230769,Even
2000,2181007818,45-54,122.0,120.0,0.9836065573770492,Even
2000,2181007818,55-64,52.0,52.0,1.0,Even
2000,2181007818,65+,10.0,9.0,0.9,Even
2000,2181007819,18-24,6.0,5.0,0.8333333333333334,Even
2000,2181007819,25-34,55.0,47.0,0.8545454545454545,Even
2000,2181007819,35-44,84.0,80.0,0.9523809523809523,Even
2000,2181007819,45-54,100.0,95.0,0.95,Even
2000,2181007819,55-64,35.0,33.0,0.9428571428571428,Even
2000,2181007819,65+,10.0,10.0,1.0,Even
2000,2181007820,18-24,12.0,10.0,0.8333333333333334,Even
2000,2181007820,25-34,55.0,45.0,0.8181818181818182,Even
2000,2181007820,35-44,72.0,69.0,0.9583333333333334,Even
2000,2181007820,45-54,58.0,57.0,0.9827586206896551,Even
2000,2181007820,55-64,41.0,41.0,1.0,Even
2000,2181007820,65+,19.0,19.0,1.0,Even
2000,2181007821,18-24,16.0,12.0,0.75,Even
2000,2181007821,25-34,40.0,32.0,0.8,Even
2000,2181007821,35-44,57.0,55.0,0.9649122807017544,Even
2000,2181007821,45-54,68.0,63.0,0.9264705882352942,Even
2000,2181007821,55-64,26.0,25.0,0.9615384615384616,Even
2000,2181007821,65+,8.0,8.0,1.0,Even
2000,2181007822,18-24,13.0,9.0,0.6923076923076923,Even
2000,2181007822,25-34,35.0,24.0,0.6857142857142857,Even
2000,2181007822,35-44,62.0,58.0,0.9354838709677419,Even
2000,2181007822,45-54,65.0,58.0,0.8923076923076924,Even
2000,2181007822,55-64,30.0,29.0,0.9666666666666667,Even
