,In-degree,Out-degree,Betweenness,Closeness,Eigenvector
aaronbrockett12,529.0,565.0,0.08940937472495468,0.765248409391024,0.12749741947719787
adamfennel,10.0,59.00000000000001,2.382646719322644e-05,0.45979437106769183,0.006049669920668236
ridiculeslie,37.0,33.0,3.75596258065668e-05,0.47138860953121436,0.016554216299184597
lindakeyesmd,7.0,50.0,6.236016363065235e-06,0.4534216147119373,0.004833900514412594
quantum_graeme,23.0,87.0,0.00010843527972234471,0.4585055291025406,0.00822739521151547
boulders4people,106.0,260.0,0.0026719579011193826,0.5009857504053029,0.03318304429156258
allontheline_co,57.0,98.00000000000001,0.0011978410520310017,0.49305756596030564,0.020682089631708787
megandawso,2.9999999999999996,15.0,6.016605238171696e-07,0.4361915933528837,0.0018385456229269455
andreitr,34.0,21.0,4.864217442345276e-05,0.46272092647052726,0.011418158461532142
gogocaitlin,28.999999999999996,23.0,1.9106609646570707e-05,0.4680167310653258,0.012789125494456485
sjparady,38.0,140.0,0.0003149385193765449,0.48322554655046196,0.013301498490504453
terravoz,10.0,19.0,3.893867277042138e-07,0.45185593234069443,0.005677703492552333
boulderlauren4,187.99999999999997,222.0,0.005993525556829484,0.5385081399418318,0.05033306556639892
abbysbenson,28.0,56.0,9.589614519533338e-05,0.4734351592107999,0.01272620301201172
eldogal,31.0,119.00000000000001,0.000169325257736826,0.4653537624675146,0.012027867976302571
angryblacklady,118.00000000000001,22.0,0.0006246965468581697,0.5234299120234605,0.03783086858446877
courtneywalsh,57.99999999999999,104.0,0.00040908215016911245,0.49305756596030564,0.02297984860745393
feetfoward80303,4.0,2.9999999999999996,0.0,0.4475289945481023,0.0030108582029672007
jonokupferberg,39.0,59.00000000000001,5.896769691642353e-05,0.4696966188293794,0.016312129241987355
mfaltynski,23.0,79.0,4.1087709409971564e-05,0.45786381387636493,0.010060603178033846
markgelband,219.0,218.0,0.005154343785954635,0.5544808390079029,0.06487475575722569
nicolerajpal,35.0,70.0,0.00012554966769049044,0.47104923688216377,0.013864813354687837
jayarehart,9.0,36.0,1.1114675955682221e-05,0.4405975690433168,0.0036808448327241305
kaylaqfrawley,52.0,138.0,0.00022094956010185152,0.48215725131122,0.01888642538446343
jpstrategiesco,51.0,128.0,0.0003966275781487452,0.48609761517780503,0.017565626740295458
tummycom,7.0,17.0,1.0845594150205024e-05,0.4460036741849526,0.0033161960414901603
narebdenver,63.0,84.0,0.0003210116090521466,0.48900402842251534,0.021429797657946576
doug_c_hamilton,17.0,88.0,3.3305481641363254e-05,0.45531481560843806,0.007768437812014008
aliciaheim3,13.0,64.0,1.1781824430719727e-05,0.45373605411187623,0.006985742781293658
coevictiondef,60.0,81.0,0.00020654033615390773,0.48754649033481784,0.021492246560295077
jshapes,18.0,55.0,2.006405309923081e-05,0.4670145539110104,0.0110302750597924
moe_clark15,111.0,125.0,0.0010457741865233488,0.5099667887991626,0.03931391694864195
annie_mehl,40.0,31.0,3.30997429246646e-05,0.4796828372649014,0.014705781008516312
syoungreports,52.0,81.0,0.00013953443729249762,0.4807401837100114,0.022142738928724662
secretarypete,66.0,7.0,3.1879584348618136e-05,0.5009857504053029,0.018244154915308876
revlamarche,37.0,119.00000000000001,0.00018264405609259336,0.4758453745667822,0.015275534649502275
rwallaceesq,100.0,90.0,0.0004164592350059775,0.5032979923302504,0.03526464290788777
carlcastilloco,5.999999999999999,40.0,4.566394366151417e-06,0.44238498311651486,0.0036173249602825717
castellanochels,160.0,284.0,0.003909742531419444,0.5263776267331661,0.051385333921009885
kristeneller9,114.0,229.0,0.0016277918512973308,0.5025248771346587,0.0370553640093297
marshalljdc,52.0,18.0,3.480590634079639e-05,0.48251282450540234,0.020909493898047457
dawnreinfeld,47.99999999999999,71.0,0.00020126866733429958,0.4853764020989062,0.017955888775353694
gurdeeppandher,27.0,0.0,0.0,0.47178130883286146,0.006175072879308186
lucy_haggard,103.0,153.0,0.0011954348187241573,0.505241227821873,0.03646820466776974
everydayepics1,20.0,55.0,5.1248780521953915e-05,0.46304840058692537,0.008095857837224845
nprivera,129.0,81.0,0.0008873213509458139,0.5103645788060261,0.03980117531283252
tedrock,19.0,41.0,1.509902587365778e-05,0.45531481560843806,0.007852232035417654
nasapersevere,64.0,2.0,4.112356231860239e-06,0.5013696475320503,0.014104378507771648
wolfmanhorsecow,63.0,80.0,0.00022389267689255964,0.48251282450540234,0.02226873864651214
kerrydonovanco,199.0,55.0,0.0005649612743706382,0.5512109435798866,0.0572354644656261
honeycuttjenny,19.0,79.0,2.9553532559198506e-05,0.4591490456346144,0.009522038719266577
progressnowco,158.0,120.0,0.001812736343242151,0.53411215512598,0.0532429660968567
butlerforward1,42.0,94.99999999999999,0.00012735242300903883,0.48286892253086755,0.01815465935693981
cookies4cures,13.0,20.0,5.595477828007093e-06,0.46141564882180924,0.0063272007420983965
kevinjdaly21,5.999999999999999,78.0,5.318895200210716e-05,0.44691761614024966,0.0036803838642740926
pvogren,49.00000000000001,45.0,4.969617376555283e-05,0.47377797974607205,0.019792720902443512
